,type,subject,session,experimentor,segment,kernel_value
369,patients,37,3,jeulin,5,2.025541327137097
370,patients,37,3,jeulin,6,0.11056020479156163
371,patients,37,4,jeulin,0,-1.4096272736845656
372,patients,37,4,jeulin,1,1.4390311447522366
373,patients,37,4,jeulin,2,-0.7315371147063126
374,patients,37,4,jeulin,3,-0.8527206568424857
375,patients,37,4,jeulin,4,-0.5869712200176593
376,patients,37,4,jeulin,5,-0.5484787909999269
377,patients,37,4,jeulin,6,-1.017102279819099
378,patients,38,1,jeulin,0,-0.3262626798477425
379,patients,38,1,jeulin,1,-1.3923311252002806
380,patients,38,1,jeulin,2,-0.8734812967948249
381,patients,38,1,jeulin,3,1.7869666067218641
382,patients,38,1,jeulin,4,0.39864728177077635
383,patients,38,1,jeulin,5,0.1010218754113905
384,patients,38,1,jeulin,6,-0.9108360980839553
385,patients,38,2,jeulin,0,0.5841921137677136
386,patients,38,2,jeulin,1,0.8502963994826109
387,patients,38,2,jeulin,2,-0.4140162185933954
388,patients,38,2,jeulin,3,-1.715725523402362
389,patients,38,2,jeulin,4,-1.2127488885542905
390,patients,38,2,jeulin,5,-1.1335668629180569
391,patients,38,2,jeulin,6,0.254673137433623
392,patients,38,3,jeulin,0,-1.325373272030592
393,patients,38,3,jeulin,1,1.0172190138880375
394,patients,38,3,jeulin,2,1.3935676352917077
395,patients,38,3,jeulin,3,1.2518876483749086
396,patients,38,3,jeulin,4,-0.17604862267418486
397,patients,38,3,jeulin,5,0.3978296842210471
398,patients,38,3,jeulin,6,0.7142381634248438
399,patients,38,4,jeulin,0,0.40992810716833483
400,patients,38,4,jeulin,1,-0.283910728663146
401,patients,38,4,jeulin,2,0.752867048243353
402,patients,38,4,jeulin,3,-0.7573634212806969
403,patients,38,4,jeulin,4,1.3369421445485046
404,patients,38,4,jeulin,5,1.1258973479668641
405,patients,38,4,jeulin,6,1.5987139721819892
406,patients,39,1,jeulin,0,-0.4616797862381862
407,patients,39,1,jeulin,1,-0.9267832939959781
408,patients,39,1,jeulin,2,-0.3343745445919697
409,patients,39,1,jeulin,3,2.0391560874643786
410,patients,39,1,jeulin,4,-0.3335355274215201
411,patients,39,1,jeulin,5,0.8827950146904326
412,patients,39,1,jeulin,6,-0.8760066380001217
413,patients,39,2,jeulin,0,0.15856582989759238
414,patients,39,2,jeulin,1,-2.277334568650202
415,patients,39,2,jeulin,2,0.06212550895932963
416,patients,39,2,jeulin,3,1.110583036762428
417,patients,39,2,jeulin,4,0.7247543072781958
418,patients,39,2,jeulin,5,-0.13091348484513318
419,patients,39,2,jeulin,6,0.09456602550165667
420,patients,39,3,jeulin,0,-1.1061793771206088
421,patients,39,3,jeulin,1,-0.9873960854520281
422,patients,39,3,jeulin,2,-0.2080383238510396
423,patients,39,3,jeulin,3,-0.14212529978524843
424,patients,39,3,jeulin,4,-0.6573257232407592
425,patients,39,3,jeulin,5,-1.7883603952121405
426,patients,39,3,jeulin,6,1.052438407432932
427,patients,39,4,jeulin,0,0.3852969160272947
428,patients,39,4,jeulin,1,2.3232048455921666
429,patients,39,4,jeulin,2,0.24196930232191088
430,patients,39,4,jeulin,3,-0.6749084879463103
431,patients,39,4,jeulin,4,0.8656939078605179
432,patients,39,4,jeulin,5,0.3761562357912864
433,patients,39,4,jeulin,6,-0.2220258221858891
434,patients,40,1,jeulin,0,-0.7501187806202102
435,patients,40,1,jeulin,1,-0.129174800801153
436,patients,40,1,jeulin,2,-0.051433180045010414
437,patients,40,1,jeulin,3,-1.0391023709763054
438,patients,40,1,jeulin,4,-0.2777580946618854
439,patients,40,1,jeulin,5,1.947101868367946
440,patients,40,1,jeulin,6,-1.2123948743988329
441,patients,40,2,jeulin,0,-0.4994710976737307
442,patients,40,2,jeulin,1,1.1009166495885265
443,patients,40,2,jeulin,2,-0.3663820223795633
444,patients,40,2,jeulin,3,0.4455850781390608
445,patients,40,2,jeulin,4,-0.9243180779883281
446,patients,40,2,jeulin,5,-0.09618649504769938
447,patients,40,2,jeulin,6,2.0837738730338864
448,patients,40,3,jeulin,0,-0.9477077614323318
449,patients,40,3,jeulin,1,1.7941591052838317
450,patients,40,3,jeulin,2,-0.0854740372699025
451,patients,40,3,jeulin,3,1.173320298314258
452,patients,40,3,jeulin,4,1.1970644267333905
453,patients,40,3,jeulin,5,0.12114882705285898
454,patients,40,3,jeulin,6,0.2263106058445754
455,patients,40,4,jeulin,0,-0.28348514076661085
456,patients,40,4,jeulin,1,-0.7598292662898505
457,patients,40,4,jeulin,2,1.2011087906398021
458,patients,40,4,jeulin,3,1.0022771244436488
459,patients,40,4,jeulin,4,0.7524448680232017
460,patients,40,4,jeulin,5,1.8229011563968136
461,patients,40,4,jeulin,6,0.0770194424248304
462,patients,41,1,jeulin,0,-0.20457182024756002
463,patients,41,1,jeulin,1,1.4057577096240288
464,patients,41,1,jeulin,2,1.6662246183099028
465,patients,41,1,jeulin,3,0.41842630974252293
466,patients,41,1,jeulin,4,-1.334621304597986
467,patients,41,1,jeulin,5,0.3846465039334785
468,patients,41,1,jeulin,6,0.3185021462587033
469,patients,41,2,jeulin,0,-0.7252496715410087
470,patients,41,2,jeulin,1,-1.1038278294039459
471,patients,41,2,jeulin,2,1.5217196695120245
472,patients,41,2,jeulin,3,1.1297885001440862
473,patients,41,2,jeulin,4,-1.1010470437809916
474,patients,41,2,jeulin,5,0.6570239373056899
475,patients,41,2,jeulin,6,0.13978262593717214
476,patients,41,3,jeulin,0,-1.2127449765377232
477,patients,41,3,jeulin,1,-0.5417385382830204
478,patients,41,3,jeulin,2,-0.4018099297385268
479,patients,41,3,jeulin,3,0.6302749850281393
480,patients,41,3,jeulin,4,-1.9742714846815093
481,patients,41,3,jeulin,5,0.8402270984076851
482,patients,41,3,jeulin,6,-0.27081678217507804
483,patients,41,4,jeulin,0,-0.01589633092054852
484,patients,41,4,jeulin,1,1.5129733625243738
485,patients,41,4,jeulin,2,0.2879570082047811
486,patients,41,4,jeulin,3,0.5718870925995241
487,patients,41,4,jeulin,4,0.4004551779089231
488,patients,41,4,jeulin,5,-1.394034513739505
489,patients,41,4,jeulin,6,-1.4822240892279963
490,patients,42,1,jeulin,0,-1.1694689973767243
491,patients,42,1,jeulin,1,1.3172306994792367
492,patients,42,1,jeulin,2,0.2070453148251917
493,patients,42,1,jeulin,3,0.7230123250479912
494,patients,42,1,jeulin,4,0.7522184625007889
495,patients,42,1,jeulin,5,1.5639316143832152
496,patients,42,1,jeulin,6,0.5656113985479908
497,patients,42,2,jeulin,0,-1.224685320219184
498,patients,42,2,jeulin,1,1.6337378482066782
499,patients,42,2,jeulin,2,-0.3535675450830428
500,patients,42,2,jeulin,3,-0.5780937200393266
501,patients,42,2,jeulin,4,-1.1485382636082444
502,patients,42,2,jeulin,5,0.9601520300391181
503,patients,42,2,jeulin,6,-0.36167953761750293
504,patients,42,3,jeulin,0,0.7357450400991419
505,patients,42,3,jeulin,1,1.057615100407377
506,patients,42,3,jeulin,2,-0.12665326608603933
507,patients,42,3,jeulin,3,-0.2629262138922574
508,patients,42,3,jeulin,4,1.732386810295606
509,patients,42,3,jeulin,5,1.2370139620275533
510,patients,42,3,jeulin,6,0.8506413397316988
511,patients,42,4,jeulin,0,0.14084100003892322
512,patients,42,4,jeulin,1,-1.4752927202282917
513,patients,42,4,jeulin,2,-0.06458120568709971
514,patients,42,4,jeulin,3,-1.629133477816999
515,patients,42,4,jeulin,4,0.21528083430484837
